1 0 1037
2 1037 1093
3 2130 6644
4 8774 2155
5 10929 1938
6 12867 6644
7 19511 6182
8 25693 3609
9 29302 630
10 29932 1836
11 31768 3082
12 34850 1228
13 36078 2296
14 38374 1115
15 39489 3481
16 42970 4095
17 47065 4313
18 51378 6261
19 57639 3752
20 61391 719
21 62110 4275
22 66385 4079
23 70464 548
24 71012 1002
25 72014 1593
26 73607 3659
27 77266 3586
28 80852 4794
29 85646 2698
30 88344 2081
31 90425 3133
32 93558 811
33 94369 7123
34 101492 958
35 102450 3149
36 105599 2384
37 107983 2683
38 110666 3415
39 114081 2554
40 116635 3992
41 120627 2045
42 122672 1862
43 124534 4423
44 128957 1431
45 130388 4398
46 134786 3881
47 138667 5664
48 144331 6648
49 150979 4506
50 155485 1796
51 157281 1269
52 158550 2834
53 161384 6417
54 167801 2539
55 170340 3446
56 173786 2707
57 176493 2256
58 178749 10439
59 189188 772
60 189960 9058
61 199018 6772
62 205790 2211
63 208001 2523
64 210524 2399
65 212923 2365
66 215288 1348
67 216636 1135
68 217771 2948
69 220719 10106
70 230825 1285
71 232110 3962
72 236072 1121
73 237193 463
74 237656 10733
75 248389 1840
76 250229 3355
77 253584 3330
78 256914 3557
79 260471 9662
80 270133 2192
81 272325 1117
82 273442 784
83 274226 1054
84 275280 1837
85 277117 8487
86 285604 3445
87 289049 6316
88 295365 4793
89 300158 5590
90 305748 1713
91 307461 5352
92 312813 1697
93 314510 1726
94 316236 6812
95 323048 2763
96 325811 1503
97 327314 2070
98 329384 2583
99 331967 2581
100 334548 3749
